,business_id,name,city,state,stars_y,0,1,2,3,text
1027,33aNXOprvIR-rtxKTUNBbQ,LongHorn Steakhouse,Copley,OH,3.5,0.10308048833314745,0.05053269659994401,0.38187791914099456,0.4645088959259138,20
1065,3R6UGi7SU-rHc8FO2VZ29Q,LongHorn Steakhouse,Strongsville,OH,3.0,0.32674545803190624,0.003943927418611252,0.3278824114619523,0.34142820308753014,21
1113,3YrySY6jiAJO1N7LbjsI_Q,Bianca's Ristorante Italiano & Lounge,Brunswick,OH,2.5,0.3838645893136228,0.004763917036419418,0.4404338110069945,0.17093768264296333,13
1146,3jKaeGaw_iVz1oEqpoRqsQ,Applebee's Grill + Bar,Stow,OH,3.5,0.47093455574990717,0.025416322054316324,0.39242482932256084,0.11122429287321564,9
1162,3rlMsFJE8MjHE4K2ABkQFw,Tavolo 72,Middleburg Heights,OH,3.5,0.36216031152994,0.11712755969725243,0.434907310654492,0.0858048181183156,9
1177,47me-6Zme7RYR0zEonfaHg,Texas de Brazil,Westlake,OH,3.5,0.3804878479800689,0.021940073812055125,0.3188325377384725,0.27873954046940336,81
1297,4ZalERS8GVHK_1ULa86rMQ,Rex's Innkeeper,Waunakee,WI,3.0,0.37583234668156984,0.14115982774679148,0.2707083183040047,0.21229950726763405,17
1335,4hJHSMKyKJRl50k9EM6jkA,Mantini's Woodfired,Pittsburgh,PA,3.0,0.47027938688445653,0.022931528504725126,0.19690666367776222,0.3098824209330562,6
1349,4sRJvmKh43AqMRrjdwEdwA,Texas Roadhouse,Bridgeville,PA,3.0,0.2806407627095982,0.03469325997737144,0.3677447100357954,0.3169212672772349,47
1439,530DtHanJc-S-rNh7dtoXg,George's Chop House,Madison,WI,3.0,0.5807580345662415,0.0,0.0,0.4192419654337584,1
1442,54kfE6vauORUVUifLagkXQ,Hyde Park Prime Steakhouse,Cleveland,OH,4.0,0.2045910441971627,0.04292893561308411,0.33660178421956266,0.41587823597019036,60
1517,5QVozBk6HVJZHA3W-s7aDg,Corkscrew Saloon,Medina,OH,4.0,0.24727184000757177,0.05540475030198715,0.44480378534418114,0.2525196243462602,93
1640,5YyLWps6xL372Lj2hRlPQw,Quaker Steak & Lube,Sheffield Village,OH,3.0,0.5382090777877336,0.06097503017131769,0.2625358301388447,0.13828006190210393,28
1711,62b0uHo9uaSsoOMQFG55jg,Sammy's Famous Corned Beef,Pittsburgh,PA,2.5,0.6588353139877112,0.09352984140611739,0.051385729294398844,0.19624911531177253,4
1722,6AwirUhnpzMZynePZbrdBQ,Delaney's Charcoal Steaks,Madison,WI,3.5,0.16935630197163423,0.08966504045536762,0.36102683445421024,0.3799518231187879,61
1814,6IZuuJdMqjNVTvOVRxoJ-Q,The Wooden Nickel,North Huntingdon,PA,3.0,0.18344927587151544,0.07476754703989547,0.46289846796395295,0.27888470912463614,13
1841,6RmdqLK1H5aodAA8t7Yl2A,LongHorn Steakhouse,West Homestead,PA,3.0,0.22325563436295706,0.04049308550463302,0.27671479329713805,0.459536486835272,56
1952,6aZlyyCp6l4xmjIu0E8_WQ,LongHorn Steakhouse,Avon,OH,3.5,0.11583438214997403,0.014260647151764751,0.49974479141304107,0.3701601792852201,5
1960,6keyv1LcbzdD8MCrRaA0nQ,Outback Steakhouse,Madison,WI,2.5,0.2783867770439558,0.03632979289156865,0.29487076079953617,0.3904126692649394,24
2041,6okGKL2PA7kkc-GjZzNHnA,Johnny's Italian Steakhouse,Middleton,WI,3.5,0.24422492364954898,0.0627642047869457,0.3257507743615908,0.3672600972019147,144
2270,6sCdVRtmhJgNqKh9Vx6JXw,Tavern At Twin Lakes,Kent,OH,3.0,0.3408408246876686,0.03748646335067022,0.38757054386854384,0.2341021680931174,28
2316,6wwz7b5xehEilPx98ZnZtA,Outback Steakhouse,Parma,OH,3.0,0.20766683591314825,0.06571199981457115,0.3131760040321941,0.4134451602400865,25
2380,795wIi2-x9RfndhVo0byaA,Steel City Steak House,Monroeville,PA,2.5,0.3266687583637017,0.10686874180239131,0.34470942750071215,0.22175307233319475,11
2415,7ED5DPk40iqlMpK1E7XoOg,Ferris Steak House & Tavern,Rocky River,OH,3.5,0.21833593214807326,0.027567939056786627,0.42018859675856896,0.333907532036571,53
2507,7JOo6MO-bJMhfXobJG7SRQ,Timber Lodge,Medina,OH,3.5,0.20663717728680173,0.02341963002370164,0.4138927047509158,0.3560504879385806,148
2722,7Vi4T2E5ePOkNifyr2t6cw,Parker's Grille & Tavern,Avon Lake,OH,3.5,0.26141118433622806,0.07349646030353803,0.3731801292429793,0.2919122261172545,64
2816,7bQU0QI_YID3MgZirZHmSg,Jekyll's Kitchen,Chagrin Falls,OH,3.5,0.31641807933575894,0.029428670167953926,0.38739071347155574,0.2667625370247315,131
3024,7bSE9GOvftLyvwvyz9XJoA,Applebee's Grill + Bar,Pittsburgh,PA,2.5,0.255371783954344,0.05527619976384859,0.37133177026579667,0.31802024601601075,20
3077,7ddnq3YQSKguGK15etqGLQ,Ditka's Restaurant - Wexford,Wexford,PA,3.0,0.2611958768046298,0.010396180661121229,0.2872602186210163,0.4411477239132327,9
3102,7eLUaZwipH_uwfvv-_WafQ,Red Wheel Restaurant,Rantoul,IL,3.0,0.333121477942574,0.056304329449389415,0.31224586143166233,0.2983283311763742,11
3131,7ndalFukYiEalNeN4eL9vQ,Texas Roadhouse,Pittsburgh,PA,3.0,0.3080303419673619,0.02418429851612399,0.30312449523615315,0.36466086428036093,23
3182,8-EVsgJWjva29XMuVW2gPA,Nouveau Bistro & Lounge,Concord,OH,4.0,0.33270380609689104,0.0502974427650592,0.3079868417870771,0.30901190935097256,46
3237,88_7allgDYlxedC9jP1j6w,Applebee's Grill + Bar,Willoughby,OH,2.0,0.23839391673874047,0.01790727803433639,0.5381445524666487,0.20555425276027448,7
3274,89-bwvH5mWWOOb00VTUyFQ,Applebee's Grill + Bar,Savoy,IL,2.5,0.34692586298234085,0.039742626942596615,0.3879981109147113,0.22533339916035128,7
3305,8B7A5KqrrbxOlCX66hqfOg,McCormick & Schmick's Seafood & Steaks,Pittsburgh,PA,3.0,0.4151391775032306,0.04608198818930064,0.23979929237411907,0.2989795419333499,69
3479,8GVGzFgTKNfPixL143Zadw,Texas Roadhouse,Stow,OH,3.5,0.2328705346367591,0.027924734850958047,0.3854428726920365,0.35376185782024616,48
3552,8hwbcCNUv345Kw1xfOCcWg,Brown Derby,Cleveland,OH,3.0,0.23966052514077396,0.05263700185061767,0.2522378704841782,0.45546460252443033,28
3616,9JUynLfWPwe1X9gsJS6FTA,Cleveland Chop,Cleveland,OH,4.0,0.3156238892259415,0.07013079769488204,0.267496439692574,0.3467488733866026,214
3933,9ismhhkIPREHOo8tJi0ETA,Ruth's Chris Steak House,Middleton,WI,3.5,0.2304764719444016,0.04237048525991152,0.311369912357801,0.41578313043788606,59
4056,9lDpO8fpgZKd18yskBM3Zw,Diamond Men's Club,Cleveland,OH,3.0,0.32722588212705356,0.021703308202104848,0.4821491252278565,0.16892168444298514,8
4073,9spk8K9pg5HdDNMNxAlGwg,8 Seasons Grille,Madison,WI,3.5,0.41081617227683864,0.057872869528459554,0.33938498403839457,0.19192597415630727,31
4121,AEUzqUECmLCrPkIS9ryDCw,Applebee's Grill + Bar,Lyndhurst,OH,2.5,0.31284234135422867,0.020018046567787273,0.3484955785600267,0.3186440335179573,7
4158,AEoWScs-gYsXSUUmDbseFg,The Cabin of Willowick,Willowick,OH,3.5,0.25061976849323486,0.04445769226071544,0.29255214812858144,0.4123703911174682,49
4241,AtWI6XjqFrPEV7M5WvmwHw,V & V scratch kitchen,Finleyville,PA,4.5,0.29455244344120945,0.08059616541852843,0.40023323109233483,0.22461816004792723,100
4352,B0JdEQoQjr9oka-_YyGZ8g,Outback Steakhouse,Pittsburgh,PA,2.5,0.15715265066278364,0.057965359112349485,0.28874738552578305,0.4961346046990838,25
4446,B46YpcGGZ5nBjGLzSJLVbA,Steak Escape West Towne Mall,Madison,WI,4.0,0.20262989241882987,0.020518144612344656,0.5332899542860138,0.24356200868281166,3
4450,B57-WztEVG1oWzIRkhqZmA,Casey Jones Tavern,Cleveland,OH,4.5,0.6884186306299588,0.054584481996254895,0.12160494466890669,0.1353919427048796,2
4453,BiMWzRn7ppT_zgoY37yNVg,Lanning's Restaurant,Akron,OH,4.0,0.16075723010167423,0.07354087004471507,0.3358222498630313,0.42987964999057954,45
4515,CNklj3fFmwXL13AyvjfV5w,Ann's Chophouse,Bethel Park,PA,3.5,0.27545814405980223,0.029292634567771567,0.35905582011848497,0.3361934012539413,21
4551,CZjWBiv0U0UFELpJ-UDUfg,Rodizio Grill,Cleveland,OH,3.5,0.4281493507254046,0.016066504529802295,0.31463285671447777,0.24115128803031533,20
4590,C_-8AEMAJG6MvE3b6ou-ow,Texas Roadhouse,Pittsburgh,PA,3.5,0.3061554325117735,0.02433834399111971,0.3768397126201342,0.2926665108769726,26
4628,CgsUUVwL8EBqcHFxrtkFtA,Quaker Steak & Lube,Mentor,OH,3.0,0.4705538368301792,0.10068085442969694,0.31285775216326217,0.11590755657686184,37
4705,CpNMXASiwtJv5eCDf0n63g,Alexander's Steakhouse,Champaign,IL,3.0,0.35558126695143205,0.037659418898170274,0.20166395482111132,0.40509535932928636,38
4786,CsbNmQqu9dKFrgcIItevYA,Revel,Pittsburgh,PA,3.5,0.33016086021957497,0.09874345186649207,0.3322199848837819,0.238875703030151,143
5033,Csj88GuxCXO-24VQraitHQ,Applebee's Grill + Bar,Brunswick,OH,2.5,0.21747834482930178,0.0,0.5491774652164635,0.2333441899542347,5
5053,CySpYWrovIOGh7hdz9ahOQ,Dragonfly Lounge,Cleveland,OH,4.0,0.6227303883421631,0.03665427631147565,0.22759724247870744,0.11301809286765388,20
5081,D6KoYvnmWswZJjdGm0uiqA,Girves Brown Derby,Cleveland,OH,3.0,0.24754498221952304,0.017304214481519222,0.30012773190140296,0.4350230713975548,27
5151,DD5TD5JA9cHQTDtzKUzhyg,Watertower Chop House,Sun Prairie,WI,3.0,0.3443719239214807,0.07173157089372088,0.2693012948309832,0.3145952103538152,30
5208,DMRaPL6SnA_RX7yY6rprhQ,Steak On a Stone,Copley,OH,2.5,0.36859397957926643,0.04924310311298387,0.036680354238816465,0.5454825630689332,8
5234,DzVv_g6xsLbMh66HtiZK3A,Coal Hill Steakhouse at Grandview Saloon,Pittsburgh,PA,2.0,0.30481027231555863,0.06187768399142012,0.3904077089526757,0.24290433474034553,15
5300,EXIZwIxLoiPDJs-oKzgaKw,Steak ’n Shake,Cleveland,OH,2.0,0.32977743449898156,0.09879838003888519,0.3129778881165034,0.2584462973456299,10
5360,Ef0WLuzSbnSuIKu5i-Z2_g,Outback Steakhouse,Moon Township,PA,3.5,0.2078390043102025,0.03199094238483729,0.3944798970568234,0.3656901562481369,29
5407,Es0JayHVN_XPn1q5yFtn6g,Pittsburgh Rare,Pittsburgh,PA,2.5,0.4136234245325049,0.0,0.07914771108695356,0.5072288643805416,2
5416,EsjY-B1wh76hK6G6deH1hw,Prime Rib Steakhouse,Cleveland,OH,3.5,0.13923463286482995,0.027870302381984936,0.4695149371030689,0.3633801276501162,8
5432,FZmvSCnBcVXiX08lmGhakA,DeBlaze Grill,Bridgeville,PA,4.5,0.2932449086357514,0.08231542017231809,0.31791930815612385,0.30652036303580654,39
5479,GDWZh4LMDiUXHcZV3XJRww,The Groove Cheesesteak Co,Pittsburgh,PA,3.0,0.453991543991608,0.16649554225503813,0.14621808611064863,0.23329482764270532,38
5558,GatUelEiMO2tShY16y6Zrg,Applebee's Grill + Bar,Garfield Heights,OH,2.5,0.30655737562851,0.20029878344683907,0.30624791588236583,0.18689592504228517,6
5573,H-wMVXewXX8DmY7uF2pwYA,Cork's and Stubby's,Amherst,OH,3.0,0.32348943888387505,0.1055932113707114,0.35104993826459174,0.2198674114808219,16
5603,HBX4hBNcOYwAJ2kAWebtbA,Texas De Brazil,Woodmere,OH,4.0,0.4184578313345056,0.011203610619021379,0.326052704356497,0.24428585368997596,105
5748,HO__o8ndEqZS84voSZZONQ,Girves Brown Derby,Streetsboro,OH,3.5,0.22128712523231528,0.02841642420923512,0.3277130707025026,0.42258337985594707,66
5844,HOgLMfPB11zz7BsYkFSz0g,Baba's Supper Club,Sun Prairie,WI,2.0,0.0,0.0,1.0,0.0,1
5848,HPGepGRhJv-xYcPMIEhTMA,Creo's Steakhouse,Akron,OH,2.5,0.24921669992105588,0.0066793427051178465,0.37091850065404347,0.37318545671978276,6
5864,HUTDbniG4URIGfkP8e_cfA,Quaker Steak & Lube,Cleveland,OH,3.5,0.41216553119948496,0.08395891970623261,0.3199388881701467,0.18393666092413577,21
5908,HlYzk84INQaNslFT-lyBFw,Applebee's Grill + Bar,Madison,WI,2.0,0.3257796054217685,0.07916235601694792,0.32710446110990404,0.26795357745137954,11
5960,HsAVVdyrzSPORCrpHbMg9g,Nineteen10,Kent,OH,3.5,0.26423963995726496,0.029397115100048294,0.4221351492900915,0.28422809565259527,7
5972,I6ocB-D9EAlk3Y9xGll1qA,Taverne Of Richfield,Richfield,OH,3.5,0.3129193556109873,0.1096701758988432,0.3170180173855131,0.2603924511046562,35
6038,Im0hMcWaqWIzuBM8xILDsA,Trivs,Strongsville,OH,4.0,0.26681178928755006,0.033726064800045,0.40757688691657984,0.291885258995825,93
6146,J4fxdRNWmqckOHTPJocWEw,ML Tavern,Moreland Hills,OH,4.0,0.23132795685060425,0.017381029285365952,0.386275117766873,0.3650158960971567,58
6221,JBkc2Xof8yietmHQLs62aQ,Eddie Merlot's - Pittsburgh,Pittsburgh,PA,4.0,0.1782453336112803,0.03795464221349273,0.34171762756898827,0.44208239660623877,165
6441,JKAYcu_1UPHTyquCZCKPaw,Strip,Avon,OH,4.0,0.1787124510352179,0.06145792745065011,0.3075334562699547,0.45229616524417743,191
6685,JLbgvGM4FXh9zNP4O5ZWjQ,Meat & Potatoes,Pittsburgh,PA,4.0,0.41103242884047625,0.07493278472911277,0.25864691546372764,0.25538787096668286,1641
8721,JMahS85NWAXQuyGLx3UlQQ,Inn Place Restaurant,Imperial,PA,3.5,0.32657826346191393,0.006730356678103409,0.2194128808039971,0.44727849905598543,5
8729,JW7-UF3cdQIo-HAiK29HUQ,Palmieri's Restaurants,Plum,PA,4.0,0.24803880514096363,0.08985353569860004,0.44925822822391204,0.21284943093652428,14
8746,JhxI7oS_jsFnq34dDubugQ,Ferris Steak House,Cleveland,OH,3.5,0.16647517790444666,0.0,0.3687979950460947,0.4647268270494587,5
8755,Jqd8QeYoBxJvYxhG0Lekyg,Texas Roadhouse,Willoughby,OH,3.5,0.28283657102957677,0.03243172713323808,0.3121820714886232,0.372549630348562,55
8846,KBBXaD0FXDTpFuTuSJ6yHA,Applebee's Grill + Bar,Pittsburgh,PA,2.5,0.38251316538187,0.04299516722268742,0.24876498079429205,0.32572668660115056,9
8875,KGpsB2dsdkxl8SGVUlJbZw,Outback Steakhouse,Champaign,IL,3.5,0.20819632884687705,0.025092641431132386,0.31562579764967463,0.451085232072316,29
8933,KK5Hvy2JNjXpdO_zHA_LCA,Prime Quarter Steak House,Madison,WI,4.0,0.39098401749686656,0.04820792065676195,0.05527523412484189,0.5055328277215295,25
8964,L95ppCbcWAt4LUWrCiEvPg,The Capital Grille,Pittsburgh,PA,4.0,0.15828220233691762,0.04839903675165356,0.3520860826726002,0.44123267823882856,252
9283,LFdlt3HzTGGvzgfwzYjCVw,Pacers Sports Bar & Grille,Mentor,OH,3.5,0.3954473983931798,0.15286189084891344,0.25473145239944983,0.19695925835845696,14
9306,LJwS9epPXXvzel7bZ616Gg,Marble Room Steaks and Raw Bar,Cleveland,OH,4.0,0.22199622593582977,0.046388421541745294,0.43125382924060096,0.3003615232818239,215
9579,LWk7Q5CTjpK-k_TfXdbApQ,Brasa Grill,Cleveland,OH,3.0,0.4418554815599303,0.015812440188949953,0.23328772600802367,0.3090443522430959,78
9744,LkbZSfAvVd7yAogbya_uaQ,Steak on a Stone,North Olmsted,OH,3.5,0.4137379771807162,0.00026340904829662406,0.17258842989647685,0.41341018387451023,13
9762,Luv7Vq5SbnkHyN3X1ZM9yw,Applebee's Grill + Bar,Stow,OH,2.5,0.23306896028561688,0.10481031405922264,0.6162215468621564,0.045899178793004154,6
9777,LwyHsVK0koh-N-FwqY1N1w,Osso Farm Restaurant,Chardon,OH,3.5,0.43142700723110705,0.012714068777893673,0.4260546038907833,0.12980432010021595,7
9791,Lyn5sYu1rfxdmntbaOoZJg,Rivers Casino,Pittsburgh,PA,2.5,0.7217025621660784,0.017302037599333252,0.17189062401591343,0.08910477621867482,92
10067,MASMoYbcWPQ_eLjzaujZiA,Applebee's Grill + Bar,Akron,OH,2.5,0.4065316231992802,0.03720333560649403,0.3477223913342586,0.20854264985996718,7
10091,MPSPlwGM11T9yq9rNBIkog,Nicky & Smitty's Deli Restaurant,Aurora,OH,3.5,0.37007949566910575,0.06093216182288918,0.4178947565153408,0.15109358599266423,30
10136,MQXFdfDb1UjrZngnjslmhA,Outback Steakhouse,Macedonia,OH,2.5,0.13707794258717032,0.047051900255150804,0.3098097895069819,0.46258210678113165,23
10220,Mb4V2aPneclZZ8BfZUjWGA,Ken Stewart's East Bank,Cleveland,OH,3.5,0.2771607251535221,0.016729108932096053,0.29426872552174627,0.41184144039263565,38
10281,MdR6htOIm-LF051qUCKmGg,Pittsburgh Chop House,Pittsburgh,PA,3.0,0.09044959483815171,0.026418944442528004,0.0,0.8831314607193202,2
10285,MesBAxNk_M7ISbBmVDiiWQ,El Torito Taqueria Bar,Lakewood,OH,4.0,0.34907498000599924,0.04052879503482037,0.44834455870548073,0.16205166625369946,125
10440,MgScNgEPoNExpCOwcgQR3g,LongHorn Steakhouse,Rocky River,OH,3.0,0.18182126740307966,0.04728437648065843,0.27877622122671863,0.4921181348895433,31
10504,MothxPy-ZoFcCdoVGw2hDQ,Applebee's Grill + Bar,Tarentum,PA,3.0,0.21555616587169063,0.01235640667015163,0.43005825975904494,0.3420291676991128,7
10522,NSzhahVpI_B32snhJHM0HA,Texas Roadhouse,Champaign,IL,4.0,0.2911604233605358,0.02969440047407372,0.34982494009604576,0.32932023606934463,73
10628,NXTsT01IVpKYPpa_1L-Rlw,Applebee's Grill + Bar,Madison,WI,2.0,0.3010093486916175,0.038720134217926555,0.34620573353475553,0.31406478355570033,11
10696,NmGY7zhoEUqO_0KxvBocTw,Local Tavern,Painesville,OH,3.5,0.3270848912156619,0.10490241346940443,0.33864345843019866,0.22936923688473507,41
10752,Nz0MchMpTVYmJbijeBSVew,Outback Steakhouse,Cuyahoga Falls,OH,3.0,0.13806952530809427,0.09824671413876261,0.4638310872081458,0.2998526733449973,15
10787,OHKLSUanPcaAQMYkHDBdSw,Applebee's Grill + Bar,Cuyahoga Falls,OH,2.0,0.2578940809918663,0.16961649437699486,0.40327224645876303,0.16921717817237578,4
10812,Occo0_pOXAUG-eL6gazeGQ,Applebee's Grill + Bar,Cleveland,OH,2.0,0.2857077779828317,0.06137784137676171,0.45668611639145573,0.19622826424895082,9
10850,PBmfdx-tC2D54FI3HtcKww,The Ribeye,Champaign,IL,3.5,0.299907105566738,0.028923199158123063,0.23133937874770974,0.4398303165274295,46
10931,PF8HqToO6An0mH6odFoCEw,South Philly Steak & Fries,Pittsburgh,PA,2.0,0.5527288199219756,0.23391425470165675,0.08186211708167773,0.13149480829468987,3
10942,PFr2uIXNFKya1Fy46dW-zg,Ken Stewart's Lodge,Akron,OH,3.5,0.24588409178162343,0.026946542785363264,0.4095355664681779,0.31763379896483535,51
11027,PKjdnTWQSygpOjlWl8VzrQ,Whistlers Kitchen & Bar Wood-Fired,Avon,OH,4.0,0.2691279527917102,0.11413618642186509,0.3688150500253732,0.24792081076105132,44
11079,PV9CdNFDOX4_zWm3Sy3W8g,Quaker Steak & Lube,Middleton,WI,3.0,0.49688764527662715,0.11419456654116167,0.22375727097315407,0.16516051720905725,63
11213,PXJkqZGaC5qxhJTVQodN_w,Harry's Steakhouse & Banquet Center,Independence,OH,3.5,0.1992902532633684,0.06299218952822071,0.31746199265736097,0.42025556455104995,67
11329,PeATTp15Y_ExaN6mR1dmKw,Quaker Steak & Lube,Pittsburgh,PA,3.0,0.46332509516743026,0.11760383637412915,0.2295547684304833,0.18951630002795714,55
11458,PmWiJxGzwQY6ErclQwtRuA,Outback Steakhouse,Akron,OH,2.5,0.1622717246358938,0.010825746454762098,0.523085045680088,0.30381748322925606,20
11528,QH2wRpTM0rtEJWgiPWhzqw,Fyfe's Corner Bistro,Madison,WI,4.0,0.4960683728427274,0.03658489954530051,0.30523029000072555,0.1621164376112465,2
11531,QJ1YpQLVuentjgTQqNqqpw,XO Prime Steaks,Cleveland,OH,3.5,0.15515294205564673,0.032953155897370474,0.29978406358360815,0.5121098384633748,119
11729,QToLw4ijAdErQ906aqr5aw,Nemo Grille,Avon,OH,4.5,0.21920920018955906,0.03511757541282916,0.45482521579348645,0.29084800860412513,117
11866,QUvT1bLQ1qBxkWhLUa_FBA,Don's Pomeroy House,Strongsville,OH,4.0,0.2512039888783697,0.04049123892502436,0.3886062863683188,0.319698485828287,109
12019,QYcsP3e-HRQYC4Iw6zbyqw,Charleys Philly Steaks,Elyria,OH,2.5,0.09010717930287303,0.2007059483006534,0.4370264551553424,0.2721604172411312,3
12030,QqbZA4r5g1vCbOxOAKJgWg,Tessaro's,Pittsburgh,PA,4.0,0.3651707877451824,0.28650530352791187,0.1761139606793212,0.17220994804758452,309
12475,Qw45ZqhBR0VI5_cI60SgeQ,Fleming's Prime Steakhouse & Wine Bar- Akron,Akron,OH,4.0,0.179213623258082,0.02388320983106204,0.43585737003439917,0.36104579687645694,85
12586,Qz4JzvZ_0_2TGTWPTE7XSQ,Steak on a Stone,Willoughby,OH,2.5,0.33448369748675066,0.017173157886683756,0.4201801040473118,0.2281630405792537,6
12606,RG2IGb4LwbxUwCW3iooYDA,Otto's Restaurant & Bar,Madison,WI,4.0,0.2868479071481723,0.07364487263982276,0.33482836668357213,0.3046788535284329,78
12700,RJNAeNA-209sctUO0dmwuA,The Old Fashioned,Madison,WI,4.0,0.19333652851989389,0.5959337923167296,0.160798293628779,0.049931385534596806,1489
14595,RPe_cSOxq_qkG-LbxBlOyw,Hyde Park Prime Steakhouse,Pittsburgh,PA,4.0,0.17512701918090323,0.04180412267246522,0.30170430732602005,0.48136455082061136,162
14824,RSndNUTD8MpDQiotoTS29A,Steak N Shake,Tarentum,PA,2.0,0.12420557276143657,0.0026569748311704756,0.7132077305019328,0.15992972190546026,1
14837,RcsfZ7IrWSNvM1AYcLmWNw,Steak ’n Shake,Tarentum,PA,2.5,0.31403539238916955,0.07358539149638753,0.4995703096070584,0.11280890650738463,4
14848,RfM6jDn16Qf8eVz2vJTdbw,Henry Wahner's Restaurant & Lounge,Kent,OH,3.5,0.2955608105024834,0.06992399725144462,0.31297556684615735,0.32153962539991454,43
14907,Rii85bzYKGC9P0zOyAem6A,Texas Roadhouse,Brooklyn,OH,3.5,0.2217836380311835,0.030262398037470967,0.3280617655363333,0.41989219839501196,81
15026,S5OyMT8iK7QzVKZPtI2k1g,Girves Brown Derby,Medina,OH,3.5,0.20834948972556563,0.03452034398586951,0.3158199189192104,0.4413102473693546,60
15110,S7ECG2HNltSWFo1FcFTwFQ,Outback Steakhouse,Pittsburgh,PA,3.0,0.1945513848093712,0.06447198485353003,0.3774911197270841,0.36348551061001466,21
15156,SNNrb5T4dn3DMq410HIpxw,Gamekeeper's Taverne,Chagrin Falls,OH,3.5,0.33274023844365536,0.0445471085690409,0.3443722032496036,0.27834044973770017,57
15250,STr9xDBZ9OOvgRZSJTbshQ,Brown Derby Roadhouse,Akron,OH,1.5,0.2912611534740287,0.18438272144404702,0.3380397027909157,0.18631642229100862,1
15258,SvxSoyZn0WW0c7bFLIYfMA,Baxter's American Grille,Champaign,IL,4.0,0.23321296985282866,0.060535682305680585,0.36497029420983995,0.34128105363165073,53
15324,Szl3MsKnwryJGYuPRPMaIg,Applebee's Grill + Bar,Pittsburgh,PA,2.0,0.3554045719747958,0.053746469368747295,0.3705990055462499,0.22024995311020698,5
15359,TNV-nSWQ_pN6wrMwAgxSkA,Mc Govern's Club and Restaurant,Sun Prairie,WI,3.0,0.33648202127141674,0.16257772811726554,0.3388763798134113,0.16206387079790646,6
15376,TNgqPThc9_MwgSIdsZIUjQ,Delmonico's Steakhouse,Independence,OH,3.5,0.21694968131679018,0.028628571986049844,0.31879678004969386,0.43562496664746586,96
15522,TUZTu3dQxSxSIKRMkHQrsA,The Overlook,Kent,OH,3.5,0.40939149723095614,0.07555803763202654,0.27981250020221426,0.2352379649348031,8
15535,UCJpL9VFk3g1B2gjRlLy_g,Ditka's Restaurant,Pittsburgh,PA,3.5,0.195739738951363,0.05142436278317675,0.30397880046534176,0.44885709780011873,169
15783,UDqYqhDaW96-y7l79VMODw,Applebee's Grill + Bar,Pittsburgh,PA,3.0,0.44466087735378845,0.07127520768359966,0.14135827180146987,0.34270564316114216,14
15812,UXRaY-AuZC9nguDXlcLvcg,Johnny's Italian Steakhouse,Sun Prairie,WI,2.5,0.34216915853202823,0.04134466507146319,0.3442982765010257,0.27218789989548303,23
